,event_date,event_id,event_name,section_name,row_name,ticket_type,add_datetime,sale_price,acct_id,channel,sale_type,seat_num
6526,6/5/2021,64625,20PNR2VA,1,18,Full Strip,11:49.8,280,18567990,Internal,Archtics,16
6527,6/7/2021,64626,20PNR2VB,1,18,Full Strip,11:49.8,280,18567990,Internal,Archtics,16
6528,6/5/2021,64625,20PNR2VA,6,20,Full Strip,11:49.8,345,18567990,Internal,Archtics,8
6529,6/7/2021,64626,20PNR2VB,6,20,Full Strip,11:49.8,345,18567990,Internal,Archtics,8
6530,6/5/2021,64625,20PNR2VA,120,4,Full Strip,17:26.6,295,26532499,Internal,Archtics,2
6531,6/7/2021,64626,20PNR2VB,120,4,Full Strip,17:26.6,295,26532499,Internal,Archtics,2
6532,6/5/2021,64625,20PNR2VA,222,13,Full Strip,16:54.0,160,29130773,Internal,Archtics,14
6533,6/7/2021,64626,20PNR2VB,222,13,Full Strip,16:54.0,160,29130773,Internal,Archtics,14
6534,6/5/2021,64625,20PNR2VA,222,13,Full Strip,16:54.0,160,29130773,Internal,Archtics,16
6535,6/7/2021,64626,20PNR2VB,222,13,Full Strip,16:54.0,160,29130773,Internal,Archtics,16
6536,6/5/2021,64625,20PNR2VA,222,10,Full Strip,15:38.6,160,18164350,Internal,Archtics,26
6537,6/7/2021,64626,20PNR2VB,222,10,Full Strip,15:38.6,160,18164350,Internal,Archtics,26
6538,6/5/2021,64625,20PNR2VA,223,22,Full Strip,16:07.4,160,26717082,Internal,Archtics,28
6539,6/7/2021,64626,20PNR2VB,223,22,Full Strip,16:07.4,160,26717082,Internal,Archtics,28
6540,6/5/2021,64625,20PNR2VA,VIP25,3,Full Strip,16:15.5,810,5046640,Internal,Archtics,7
